武将id			星数	星级系数	星级属性	进阶消耗，1升2使用2星消耗，合成使用1星消耗	技能																																																								
captain_id			star	coef	sprite_stat	cost	spell	spell	spell	spell	spell																																																				
1	荆轲	1	1	0.8	13301001	13301001	13111001	13121001	13101508				13111001	13221001						1	1	0.8		1	2	3	2	3	2	3	2	3	3	2	1	2	2	1	2	1	2	3	3	2	1	3	2	3	2	3	3	3	3	3	3	3	3	3	3	1	3	1	1
1	荆轲	1	2	0.9	13302001	13302001	13111001	13122001	13101508				13112001							1	2	0.9		1	2	3	2	3	2	3	2	3	3	2	1	2	2	1	2	1	2	3	3	2	1	3	2	3	2	3	3	3	3	3	3	3	3	3	3	1	3	1	1
1	荆轲	1	3	1	13303001	13303001	13111001	13123001	13101508				13113001							1	3	1		1	2	3	2	3	2	3	2	3	3	2	1	2	2	1	2	1	2	3	3	2	1	3	2	3	2	3	3	3	3	3	3	3	3	3	3	1	3	1	1
1	荆轲	1	4	1.1	13304001	13304001	13111001	13124001	13101508				13114001							1	4	1.1		1	2	3	2	3	2	3	2	3	3	2	1	2	2	1	2	1	2	3	3	2	1	3	2	3	2	3	3	3	3	3	3	3	3	3	3	1	3	1	1
1	荆轲	1	5	1.2	13305001	13305001	13111001	13125001	13101508				13115001							1	5	1.2		1	2	3	2	3	2	3	2	3	3	2	1	2	2	1	2	1	2	3	3	2	1	3	2	3	2	3	3	3	3	3	3	3	3	3	3	1	3	1	1
2	庞涓	2	1	1	13301002	13301002	13111002	13121002	13100202	13141018										2	1	1		2	3	2	3	2	3	2	3	3	2	1	2	2	1	2	1	2	3	3	2	1	3	2	3	2	3	3	3	3	3	3	3	3	3	3	1	3	1	1	0
2	庞涓	2	2	1.12	13302002	13302002	13111002	13122002	13100202	13142018										2	2	1.12		2	3	2	3	2	3	2	3	3	2	1	2	2	1	2	1	2	3	3	2	1	3	2	3	2	3	3	3	3	3	3	3	3	3	3	1	3	1	1	0
2	庞涓	2	3	1.24	13303002	13303002	13111002	13123002	13100202	13143018										2	3	1.24		2	3	2	3	2	3	2	3	3	2	1	2	2	1	2	1	2	3	3	2	1	3	2	3	2	3	3	3	3	3	3	3	3	3	3	1	3	1	1	0
2	庞涓	2	4	1.36	13304002	13304002	13111002	13124002	13100202	13144018										2	4	1.36		2	3	2	3	2	3	2	3	3	2	1	2	2	1	2	1	2	3	3	2	1	3	2	3	2	3	3	3	3	3	3	3	3	3	3	1	3	1	1	0
2	庞涓	2	5	1.48	13305002	13305002	13111002	13125002	13100202	13145018										2	5	1.48		2	3	2	3	2	3	2	3	3	2	1	2	2	1	2	1	2	3	3	2	1	3	2	3	2	3	3	3	3	3	3	3	3	3	3	1	3	1	1	0
