
Particle_Sun_Circle_Outer ,15
knolans_weapon_trail_2_blur ,15
Eff_bing6 ,6
Particle_Boomerang_06 ,30
generic_explosion_big_sheet ,8
guangqiu ,181
tuowei15 ,13
Particle_Cracks_01 ,6
generic_dust_direct_2_sheet1 ,6
menfenguang1 ,5
Particle_Shockwave21 ,3
Particle_Trail27 ,5
generic_dust_direct_2_sheet ,3
Effects_suipian ,20
Particle_Glow_09 ,35
Standard_1 ,5
Particle_Circle_Glow_03 ,16
fx_energy_noise 1 ,28
Particle_Impact05 ,11
lightning_purple_1_sheet2 ,10
heidian ,6
shizCKliuguang3 ,5
shenqikuangkuang ,4
Particle_Lightning_03 ,28
wujiaoxing2 ,8
Particle_Moth_03 ,4
Effects_yan_Com ,14
preparation_smoke_add_sheet ,3
nengliang ,5
anbian11 ,4
Particle_Glow_11 ,10
ice_spark 1 ,11
Particle_AshFlakes_02 ,5
Particle_Cracks_11 ,3
138光晕 4 ,6
Particle_Gradient_0313 ,13
Effects_yan06 ,44
Particle_Glow04 ,19
cannon_muzzle_after_smoke_sheet 1 ,5
Eff_quan07 ,39
Eff_wenli ,4
Eff_wenli_02b ,8
Particle_Circle_Mask_01b ,3
flare2b ,105
Particle_Impact23 ,20
frost_ice_sheet_bright ,3
knolans_weapon_trail_1_blur 1 ,15
lightning_strike_2_sheet_yellow 1 ,7
tuowei2 ,7
Particle_Shockwave_ath_01 ,12
Particle_Slime_Drops_01B ,4
smoke22_6 ,150
Eff_wenli_02a ,6
Particle_Impact_Line_01_7 ,7
Particle_Lightning_2x2_13 ,6
Particle_Shockwave12 ,4
Effects_baodian014 ,8
Particle_AE_Spin_02 ,11
Particle_Impact_Line_01_4 ,8
Particle_Projectiletip_Barb_03 ,5
Particle_Fly_01 ,4
Particle_Shield_01 ,4
Particle_Cracks_15A ,3
cannon_muzzle_impact_smoke_sheet 1 ,4
Effects_shanguang_Com ,161
shizCKliuguang4 ,5
Particle_Glow3 ,128
Particle_Glow9 ,3
wargolem_cannon_impact_a_yellow_sheet ,3
Effects_Fire10 ,3
Particle_Glow02 ,127
Particle_Smoke_Trail_35 ,9
green_fire_new_1_sheetbai ,28
Particle_AE_Shockwave_12 ,4
Particle_Flies_01-bosted ,3
Particle_Impact01 ,12
Particle_PatternCircle_02_Glow ,3
wargolem_cannon_impact_a_yellow_sheetA ,9
Particle_Impact30 ,3
Particle_Dot_1 ,8
Sprites-Default ,7
Effects_di_Com ,60
REff_wenli_06 ,19
wargolem_cannon_impact_lanse ,6
fiend_mist_ground_2_sheet_yellow ,6
Particle_Impact_Line_03 ,7
Particle_Star_Shape_04 ,18
Rw 3 ,35
Particle_AE_Flow_02 ,5
Effects_shangguang_C_05 ,22
Particle_Gradient_Y_031 ,21
Skull2 ,10
Particle_Arrow_02_Glowc ,4
Particle_Smoke_Trail_72 ,6
Particle_Smoke_Trail_74 ,8
Particle_Smoke_Trail_76hong ,3
6b370720 ,4
tuowei10 ,17
Particle_Dot_09 ,36
Particle_GlowLight ,5
daxiangCKdaoguang ,5
tuowei1 ,4
Particle_Impact31 ,7
Effects_yan05 ,207
Particle_Smoke_Trail_40 ,4
Particle_Blood04 ,5
REff_wenli_17 ,15
Particle_Swarm_06 ,13
yezhuZSdaoguang ,4
Effects_suipian 1 ,7
Particle_AE_Flow_03 ,4
Particle_AE_Shockwave_01 ,12
Particle_Smoke_Trail_77 ,3
Eff_taihouweiyi_Attack_03 ,3
Particle_Glow12 ,4
Particle_Star_Shape_05 ,3
shenqikuangGlow 1 ,4
Eff_taihouweiyi_Attack_06 ,3
Particle_Smoke_Trail_47 ,18
Particle_Dot_22 ,3
huoshisaoguang ,3
arcane_energy_2_sheet1 ,15
flashbang_flash_sheet_yellow ,7
sting_core_a_red_sheet3 ,11
tuowei17 ,7
Eff_guangxian1 ,64
Particle_Dot_11 ,12
Particle_Impact_Line_01_5 ,4
fiend_mist_ground_1_sheet_dust ,8
hemackguangyun ,5
menfeng ,7
sting_core_a_red_sheet1 ,14
Particle_Swarm_05 ,4
enrage_bottom_parts_sheet 1 ,27
niuCKbishou ,5
Eff_niuqu2 ,3
xulie_fire008_4x5 ,10
138光晕 6 ,8
Particle_Dot_06 ,13
Particle_Glow_05 ,3
Particle_Smoke_Trail_34 ,4
Particle_Smoke_Trail_11 ,15
flare1_orange4_long ,18
UI_gonghui6 ,4
garrison_burst_trail_a_sheet_w ,24
lightning_strike_2_sheet_yellowdiejia ,7
Particle_AE_Impact_03 ,18
Particle_Glow_12 ,21
