图标id	数量	默认图标，小图标	中图标	大图标	头图标	底图标	超大图标		图标标签，1-随机	是不是武将头像						
id	text	icon	middle_icon	big_icon	head_icon	tail_icon	super_big_icon		tab	captain_head						
小卒		ui://Pvp100Battle/Rank_Icon01						军衔等级图标								
步兵		ui://Pvp100Battle/Rank_Icon02						军衔等级图标								
骑士		ui://Pvp100Battle/Rank_Icon03						军衔等级图标								
禁卫		ui://Pvp100Battle/Rank_Icon04						军衔等级图标								
先锋		ui://Pvp100Battle/Rank_Icon05						军衔等级图标								
将军		ui://Pvp100Battle/Rank_Icon06						军衔等级图标								
元帅		ui://Pvp100Battle/Rank_Icon07						军衔等级图标								
诸侯		ui://Pvp100Battle/Rank_Icon08						军衔等级图标								
穆天碎片		ui://ItemIcon/Image_Equip_MuTian														
玄冥碎片		ui://ItemIcon/Image_Equip_XuanMing														
星神碎片		ui://ItemIcon/Image_Equip_XingSheng														
wujaing_shenmi		ui://GeneralIconSmall/wujaing_shenmi														
																
5分钟建筑队加速	5分钟	ui://ItemIcon/item_5min						物品图标								
10分钟建筑队加速	1小时	ui://ItemIcon/item_10min						物品图标								
30分钟建筑队加速	4小时	ui://ItemIcon/item_30min						物品图标								
60分钟建筑队加速	12小时	ui://ItemIcon/item_60min						物品图标								
5分钟随机	5分钟	ui://ItemIcon/item_5min						物品图标	1							
60分钟随机	1小时	ui://ItemIcon/item_10min							1							
240分钟随机	4小时	ui://ItemIcon/item_30min							1							
720分钟随机	12小时	ui://ItemIcon/item_60min							1							
10分钟科技队加速	1小时	ui://ItemIcon/item_10min						物品图标								
30分钟科技队加速	4小时	ui://ItemIcon/item_30min						物品图标								
60分钟科技队加速	12小时	ui://ItemIcon/item_60min						物品图标								
5分钟通用加速	5分钟	ui://ItemIcon/item_5min						物品图标								
10分钟通用加速	1小时	ui://ItemIcon/item_10min						物品图标								
30分钟通用加速	4小时	ui://ItemIcon/item_30min						物品图标								
60分钟通用加速	12小时	ui://ItemIcon/item_60min						物品图标								
初级武将强化符		ui://ItemIcon/item_qianghua1						物品图标								
小喇叭		ui://ItemIcon/xiao_la_ba														
初级功勋令牌		ui://ItemIcon/Image_MeritToken_Green														
中级功勋令牌		ui://ItemIcon/Image_MeritToken_Blue														
高级级功勋令牌		ui://ItemIcon/Image_MeritToken_Purple														
超级功勋令牌		ui://ItemIcon/Image_MeritToken_Orange														
合璧分身		ui://ItemIcon/Image_JadeAvatar														
讨伐令		ui://ItemIcon/Image_Crusade														
驻防分身		ui://ItemIcon/Image_Garrison														
500铜币包	500铜币	ui://ItemIcon/Image_Coin														
1000铜币包	1000铜币	ui://ItemIcon/Image_Coin														
2000铜币包	2000铜币	ui://ItemIcon/Image_Coin														
5000铜币包	5000铜币	ui://ItemIcon/Image_Coin														
1万铜币包	1万铜币	ui://ItemIcon/Image_Coin														
3万铜币包	3万铜币	ui://ItemIcon/Image_Coin														
5万铜币包	5万铜币	ui://ItemIcon/Image_Coin														
10万铜币包	10万铜币	ui://ItemIcon/Image_Coin														
15万铜币包	15万铜币	ui://ItemIcon/Image_Coin														
30万铜币包	30万铜币	ui://ItemIcon/Image_Coin														
50万铜币包	50万铜币	ui://ItemIcon/Image_Coin														
100万铜币包	100万铜币	ui://ItemIcon/Image_Coin														
150万铜币包	150万铜币	ui://ItemIcon/Image_Coin														
500万铜币包	500万铜币	ui://ItemIcon/Image_Coin														
																
																
																
500石料包	500石料	ui://ItemIcon/Image_CopperMine														
1000石料包	1000石料	ui://ItemIcon/Image_CopperMine														
2000石料包	2000石料	ui://ItemIcon/Image_CopperMine														
5000石料包	5000石料	ui://ItemIcon/Image_CopperMine														
1万石料包	1万石料	ui://ItemIcon/Image_CopperMine														
3万石料包	3万石料	ui://ItemIcon/Image_CopperMine														
5万石料包	5万石料	ui://ItemIcon/Image_CopperMine														
10万石料包	10万石料	ui://ItemIcon/Image_CopperMine														
15万石料包	15万石料	ui://ItemIcon/Image_CopperMine														
30万石料包	30万石料	ui://ItemIcon/Image_CopperMine														
50万石料包	50万石料	ui://ItemIcon/Image_CopperMine														
100万石料包	100万石料	ui://ItemIcon/Image_CopperMine														
150万石料包	150万石料	ui://ItemIcon/Image_CopperMine														
500万石料包	500万石料	ui://ItemIcon/Image_CopperMine														
																
体力		ui://ItemIcon/Image_Baozi														
																
高级迁城令碎片		ui://ItemIcon/item_gaojiqianchengsuipian														
中级武将强化符		ui://ItemIcon/item_qianghua2						物品图标								
高级武将强化符		ui://ItemIcon/item_qianghua4						物品图标								
超级武将强化符		ui://ItemIcon/item_qianghua3						物品图标								
武将转职卡		ui://ItemIcon/item_GeneralsTransfer						物品图标								
随机迁城令		ui://ItemIcon/item_suijiqiancheng						物品图标								
高级迁城令		ui://ItemIcon/item_gaojiqiancheng						物品图标								
高级迁营令		ui://ItemIcon/item_gaojiqiancheng						物品图标								
随机迁营令		ui://ItemIcon/item_gaojiqiancheng						物品图标								
联盟迁城令		ui://ItemIcon/Image_AllianceMove						物品图标								
七星砂1		ui://ItemIcon/item_qixingsha						物品图标								
南海奇精1		ui://ItemIcon/item_nanhaiqijing						物品图标								
南海奇精概率		ui://ItemIcon/item_nanhaiqijing							1							
经验奖励		ui://ItemIcon/item_jingyanw						物品图标								
白色装备箱		ui://ItemIcon/item_WhiteEquip						物品图标	1							
绿色装备箱		ui://ItemIcon/item_GreenEquip						物品图标	1							
蓝色装备箱		ui://ItemIcon/item_BlueEquip						物品图标	1							
紫色装备箱		ui://ItemIcon/item_PurpleEquip						物品图标	1							
橙色装备箱		ui://ItemIcon/item_OrangeEquip						物品图标	1							
红色装备箱		ui://ItemIcon/item_RedEquip						物品图标	1							
铜币包		"ui://ItemIcon/Image_Coin
"						物品图标								
石料包		"ui://ItemIcon/Image_CopperMine
"						物品图标								
点券		ui://ItemIcon/Image_Money						物品图标								
联盟贡献		ui://ItemIcon/item_Contribute														
强化符		ui://Bazaar/Image_Fair_Intensify						物品图标								
宝石		ui://ItemIcon/item_RandomGem						物品图标								
